Index	CommitMessage	Classification
674	migration migration failed finding tsconfig file with this change we change the logic to locate the tsconfig file the public api to locate read and parse the workspace configuration should be use instead of the custom implemented logic the custom implemented logic depended on method which have long been deprecated and are not removed in version of the angular cli this wa not caught during developmentut because this repo is using outdated angular tooling package this change also update a number of spec file which previously creating an invalid angular workspace configuration file close pr close 	fix
675	common removed todo no longer considered necessary the todo comment suggesting to verify that the target element to scroll to need to be an anchor doe not longer seems under consideration so it can be removed resolve pr close 	refactor
676	core fix behavio typo in schematic readme fix the behavio typo in the schemaricsmigrationsrouterlinkemptyexpression readme file pr close 	refactor
677	common correct typo in jsdoc of http client this corrects four typo in the httpclient jsdoc capabilites capability reuested requested wuth with responmse response pr close 	docs
678	devtools update cypress orb to v rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
679	devtools update angularframework to cb rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
680	router option to correctly restore history on failed navigation expose implementation from a a public optin option from that commit we can ’ t determine whether the user actually meant the back or the forward using the popstate event triggered by a browser backforward so we instead need to store information on the state and compute the distance the user is traveling withing the browser history so by using the historygo method we can bring the user back to the page where he is supposed to be after performing the action resolve pr close 	feat
681	common synchronise location mock behavior with the navigator do not emit url pop on locationgo emit a popstate event before each hashchange to have the same behavior of the browser track the url change in the internal history when calling simulatehashchange the change to the router test reflect the goal of the test generally when locationgo is used to trigger navigation it is only relevant for hashlocationstrategy and verifying that the router pick up change from manual url change to do this we convert those call to simulatehashchange instead manual url bar change to the path when not using the hashlocationstrategy would otherwise trigger a full page refresh so they arent relevant to these test scenario which assert correct behavior during the lifetime of the router reference for no popstate on pushstatereplacestate note that just calling historypushstate or historyreplacestate wont trigger a popstate event the popstate event will be triggered by doing a browser action such a a click on the back or forward button or calling historyback or historyforward in javascript reference for popstate before hashchange when the transition occurs either due to the user triggering the browser back button or otherwise the popstate event is near the end of the process to transition to the new location if the value of state changed the popstate event is sent to the document any persisted user state is restored if the browser chooses to do so if the original and new entry shared the same document but had different fragment in their url send the hashchange event to the window breaking change the behavior of the spylocation used by the routertestingmodule ha changed to match the behavior of browser it no longer emits a popstate event when locationgo is called in addition simulatehashchange now trigger both a hashchange and a popstate event test which use locationgo and expect the change to be picked up by the router should likely change to simulatehashchange instead each test is different in what it attempt to assert so there is no single change that work for all test each test using the spylocation to simulate browser url change should be evaluated on a casebycase basis fix pr close 	fix
682	languageservice exclude the safepropertyread when applying the optional chaining when providing the completion for safepropertyread the t server will not apply the optional chaining so no need to shift the start location of replacementspan back pr close 	fix
683	docsinfra update dgenipackages to improve checklinks message this update should make the list of file with broken link more readable fix pr close 	build
684	router add more context to unhandled navigation error previously the error message wa not added to unhandled navigation error before mainjs unhandled navigation error after mainjs unhandled navigation error securityerror failed to execute replacestate on history a history state object with url can not be created in a document with origin and url pr close 	fix
685	router new output that would notify when link is activated this commit add a new output to routerlinkactive directive whenever the associated link becomes active or inactive an event will be fired on this out with the correct status pr close pr close 	feat
686	devtools update angularframework to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
687	devtools update dependency typesjasmine to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
688	devtools update dependency typeschrome to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
689	devtools update angularframework to ecbc rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
690	devtools update dependency jasminecore to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
691	compilercli add test for nullishcoalescingnotnullablecheck add test to make sure the nullish coalescing check is generating the correct diagnostics ref pr close 	test
692	compilercli add nullishcoalescingnotnullablecheck add a template check that return diagnostics if the left side of a nullish coalescing operation is not nullable ref pr close 	refactor
693	compilercli use templatecheckwithvisitor in invalidbananainboxcheck modify the existing template check to use the new abstract class this make template check easier to read and understand ref pr close 	refactor
694	compilercli add abstract templatecheckwithvisitor class add an abstract class that ha a default implementation of the run function and visit all node author of template check can extend this class and override the visitnode method to return diagnostics ref pr close 	refactor
695	compilercli move component out of templatecontext move component out of the templatecontext so the context can be reused for multiple component ref pr close 	refactor
696	compilercli change check folder structure change template check into extendedchecks instead of extendedsrctemplatechecks ref pr close 	refactor
697	compilercli remove whitespace remove extra whitespace introduced in a previous pr pr close 	refactor
698	router fix incorrect name for url match option fix pr close 	docs
699	form make error message easier to tree shake currently the error message function are defined a static method on a class which mean that a soon a one of them is used somewhere all of them have to be retained this isnt a problem at the moment because all of them are behind ngdevmode check but it error prone and it easy to fix these change move them out into function so that they can be imported individually it also ha the advantage of allowing webpack to minify the function name pr close 	refactor
700	ngcc use angular npm package in integration test in anticipation of the removal of the view engine npm package output the integration test of ngcc are switched to use angular package for from npm the version package are guaranteed to always be view engine format which make them suitable to be processed in the ngcc integration test pr close 	test
701	zonejs rename class zonedelegate to zonedelegate to differentiate it from the zonedelgate interface the current naming cause tsickle to emit implement zonedelegate class zonedelegate which is a cyclic definition error in closure compiler additionally the name shadowing is also confusing to human pr close angular pr close 	refactor
702	compilercli emit type annotation for synthesized decorator field previously the decorator transformer wa annotating the synthesized property with t type annotation however because it ran after the jsdoc transformer the t type were just dropped from the emitted j attempting to move the decorator transformer before the jsdoc transformer cause tsickle crash because synthetic ast fragment are not attached to a sourcefile node pr close 	fix
703	docsinfra upgrade cli command doc source to ed updating angularmaster from clibuildsmaster relevant change in commit range modified helplintjson pr close 	build
704	languageservice add test for extended diagnostics add a test to make sure extended template diagnostics are being correctly generated in the language service for nonts file ref pr close 	test
705	compilercli integrate extended diagnostics with the language service add the call to get the extended template diagnostics in the compiler getdiagnosticsforcomponent this make showing extended diagnostics in nonts file posible ref pr close 	refactor
706	compilercli rename extendedtemplatechecker get diagnostics fucntion rename getextendedtemplatediagnosticsforcomponent to getdiagnosticsforcomponent since it implied they are extended diagnostics ref pr close 	refactor
707	compilercli move getdiagnosticsforcomponent to compiler change the language service to call getdiagnosticsforcomponent from the compiler instead of the templatetypechecker ref pr close 	refactor
708	compilercli move extendedtemplatechecker to lazycompilationstate create the extendedtemplatechecker during makecompilation that way it avaiblable in the whole compiler ref pr close 	refactor
709	compilercli use templatediagnostic in extended package return templatediagnostic instead of tsdiagnostic when getting the extended template diagnostics this make the integration with the language service easier this also fix the error code and now us the ngerrorcode for extended template diagnostics ref pr close 	refactor
710	devtools update angularcomponents to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
711	devtools update dependency tsnode to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
712	devtools update angularframework to bec rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
713	common fix emiting typo fix some of the aio example which log string containing emiting instead of emitting pr close 	refactor
714	serviceworker npe if onactionclick is undefined previously it lead to fail if notificationdataonactionclick is undefined pr close 	fix
715	languageservice add method for retrieving the component template at the cursor location this method is the angularlanguageservice side of the implementation for given a location in a file if the location is inside a component gettemplatelocationforcomponent will return the documentspan of the inline template or the documentspan for the file that the templateurl point to pr close 	feat
716	devtools update angularframework to e rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
717	router nullundefined routerlink should disable navigation the current behavior of routerlink for null and undefined input is to treat the input the same a this creates several unresolvable issue with correctly disabling the link because command doe not behave the same a disabling a link instead it navigates to the current page but will also clear any fragment andor query params the new behavior of the routerlink input will be to completely disable navigation for null and undefined input for html anchor element this will also mean removing the href attribute fix fix fix breaking change previously null and undefined input for routerlink were equaivalent to empty string and there wa no way to disable the link navigation in addition the href is changed from a property hostbinding to an attribute binding hostbindingattrhref the effect of this change is that debugelementpropertieshref will now return the href value returned by the native element which will be the full url rather than the internal value of the routerlink href property pr close 	fix
718	devtools update angularframework to f rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
719	languageservice add extended diagnostics test add a test in the langaugeservice to make sure the extended template diagnostics are being correctly generated ref pr close 	test
720	compilercli add extended template diagnostics endtoend test this commit add extended template diagnostics endtoend test to make sure the diagnostics are generated correctly template check are already tested with unit test ref pr close 	test
721	compilercli add extendedtemplatecheck phase to compiler this commit integrates extended template check with the compiler by adding another phase of diagnostics generation this integration is under the extendedtemplatediagnostics flag ref pr close 	refactor
722	compilercli export extendedtemplatecheckerimpl and template check this commit export the implementation of extendedtemplatechecker to generate extended template diagnostics and all the template check ref pr close 	refactor
723	compilercli add extendedtemplatechecker change the current way to run template check to the extendedtemplatechecker instead of just the getextendedtemplatediagnosticsforcomponent function refactored the test that used the previous function to use the new class ref pr close 	refactor
724	compilercli inline resource when generating class metadata call previously with view engine output the enableresourceinlining option could be set to inline external template and style also for the resulting metadatajson file we want to do the same for the ivy compilation pipeline regardless of the compilation mode the full compilation definition and partial declaration currently already inline resource in a way that no external request need to be made although there is one exception currently these are the call for setting class metadata for testbed override this commit update the set class metadata call for both partial and full compilation to always inline resource this mean that library do not need to start shipping external stylestemplates just for the setclassmetadata call note only doing this for partial compilation ha been considered but it seems like it would be simpler implementationwise to do this for full compilation a well given the external resource are already inlined through their ecmp definition it seems acceptable or even more aligned to do the same for the set class metadata call pr close 	feat
725	core add migration to update empty routerlinks in template the previous behavior of routerlink for null and undefined input wa to treat the input the same a or this creates several unresolvable issue with correctly disabling the link because command doe not behave the same a disabling a link instead it navigates to the current page but will also clear any fragment andor query params the new behavior of the routerlink input will be to completely disable navigation for null and undefined input for html anchor element this will also mean removing the href attribute migration for change in pr close 	feat
726	docsinfra use tslint in aios toolslint script instead of the deprecated tslint use eslint in the aios toolslint script pr close 	refactor
727	devtools update angularframework to eb rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
728	devtools update angularframework to cc rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
729	devtools update angularframework to cff rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
730	upgrade add extensible to the upgradecomponent class this class is designed to be used a a base class therefore it should not be marked a final in the api doc pr close 	docs
731	docsinfra add sealed marker to class in api page this change will mark class a sealed unless they have been annotated with an extensible jsdoc tag fix pr close 	build
732	platformbrowser avoid intermediate array in server transition the server transition initializer look for some style tag and clear them based on their ngtransition id the way we currently have the logic creates a couple of intermediate array just so we can call foreach at the end these change use a regular for loop with an if statement instead this isnt a massive performance improvement but the logic doe run during app initialization which is performancesensitive and it an easy change to make on our end pr close 	perf
733	animation add pure annotation to static property initializers class static property with initializers that cause code execution for example call expression or new expression have the potential to cause side effect at module evaluation this is similar in effect to module level code a a result optimizers can not safely remove a class with such a static property a the potential side effect may have meaningful effect on the state of the application execution to allow class with these type of static property to be optimized and removed if unused the initializer expression for the static property can be annotated a pure this annotation provides a signal to an optimizer that the expression doe not have any potential side effect and is useful in case where static analysis can not currently prove that there are in fact no side effect caused by the initializer pr close 	fix
734	core add pure annotation to static property initializers class static property with initializers that cause code execution for example call expression or new expression have the potential to cause side effect at module evaluation this is similar in effect to module level code a a result optimizers can not safely remove a class with such a static property a the potential side effect may have meaningful effect on the state of the application execution to allow class with these type of static property to be optimized and removed if unused the initializer expression for the static property can be annotated a pure this annotation provides a signal to an optimizer that the expression doe not have any potential side effect and is useful in case where static analysis can not currently prove that there are in fact no side effect caused by the initializer pr close 	fix
735	compilercli remove unused closurecompilerenabled from ngtscprogram remove the ngtscprograms private field closurecompilerenabled a that is not being used in the class itself pr close 	refactor
736	router use the correct liveexample name in routingoverviewmd the previously used code liveexample stackblitzrouter would try to target the routerstackblitzjson file inside the nonexistent routingoverview example same a the guide name this commit fix the code to correctly express the original intention of targeting the default stackblitzjson file of the router example with liveexample namerouter fix pr close 	docs
737	compiler add a test for parsing multiline expression in attribute this test a scenario that wa failing in an internal project pr close 	test
738	compiler check that the parser support prematurely terminated interpolation such interpolation turned up during internal testing at google so this commit add a test to prevent regression pr close 	test
739	compiler use rather than in the mlparser this is a simple tidy up commit to move to the more specific comparison operator in the html lexerparser pr close 	refactor
740	compiler share isquote via charsts this function is general purpose and by moving it into the charsts file along with similar helper it can be reused in the lexer for instance pr close 	refactor
741	compiler remove cyclic dependency this commit remove cycle in the dependency graph of the compiler code pr close 	refactor
742	compilercli clarify sourcemap expectation in compliance test the compliance test can check sourcemap segment against expectation encoded into the expectation file previously the encoding of the expected segment wa only delimited by whitespace but this made it difficult to identify segment that started or ended with whitespace now these segment expectation are wrapped in doublequotes which make it easier to read and understand the expectation file pr close 	test
743	ngcc remove unused import this import is not used in the file so can be removed pr close 	refactor
744	common change encoding function in for better performance and coding standard httpparams us custom encoding function standardencoding to encode query string preserving specific charachters this refactoring aim to improve performance and code quality of that function by using a regexp and a map object instead of a chain of replace function pr close 	refactor
745	router eagerly update internal state on browsertriggered navigation the management of browserurltree currently ha several problem with correctly tracking the actual state of the browser this change make the router eagerly update the browserurltree when handling navigation triggered by browser event ie not imperative this is because with those type of navigation the browser url bar is already updated if we do not update the internal tracking of the browserurltree we will be out of sync with the real url if the navigation is rejected it would be best if we could remove browserurltree completely but doing that would require a lot more investigation and is blocked by because the spylocation used in test doe not emulate real browser behavior fix pr close 	fix
746	compilercli remove extra diagnostic from readresource comment remove the extra diagnostic present in the comment for the resourcehosts readresource method pr close 	refactor
747	compiler fix lateron typo in in extractorhost fix typo put in the extractorhostss resourcenametofilename comment in which later on is spelled lateron pr close 	refactor
748	devtools update angularframework to edc rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
749	compiler remove compileundecoratedclasses config file this config file wa added to support g patch now that the patch is removed internally we can remove the file completely pr close 	refactor
750	languageservice autoapply optional chaining on nullable symbol support automatically insert the optional chaining operator when property access is done on a nullable symbol fix pr close 	feat
751	docsinfra upgrade cli command doc source to baf updating angularmaster from clibuildsmaster relevant change in commit range modified helpbuildjson pr close 	build
752	compilercli add test for bananainboxcheck create the test package for extendedtemplatediagnostics and add a unit test for the bananainboxcheck ref pr close 	refactor
753	compilercli add bananainboxcheck to the template check add the implementation of a template check that ensures the correct use of twoway binding syntax generates a warning when foobar is found instead of foobar ref pr close 	refactor
754	compilercli visit input and output for element and template this commit add to the exisiting recursivevisitor and visit input and output for element and template ref pr close 	refactor
755	compilercli move getsourcecodefordiagnostic to utils export getsourcecodefordiagnostic from ngtsctesting to make it available for other package this will help confirm that the source code is correct in other test ref pr close 	refactor
756	compilercli move typecheck test utils into it own package this commit move the test utils used in the typechecking test into it own package this make them available to be used in the test of a different package ref pr close 	refactor
757	compilercli introduce getextendedtemplatediagnosticsforcomponent function add function to get extended template diagnostics generated by all the template check ref pr close 	refactor
758	compilercli make maketemplatediagnostic wrapper error specific this commit make the wrapper function maketemplatediagnostic take an errorcode a a type for the tsdiagnostics to be generated ref pr close 	refactor
759	compilercli introduce extended package to typecheck with it api this commit introduces packagescompilerclisrcngtsctypecheckextended a a container for a new phase of diagnostics generation the api provides an interface for new template check to implement and generate template diagnostics ref pr close 	refactor
760	devinfra exlude commit message filter from formatting exlude commitmessagefilterjs from clang format and tslint pr close 	build
761	core replace reference to googlocale with googgetlocale it is necessary in order to distinguish different reason for referencing the compiledin locale some code just need to pas the locale value on to logic that actually us it other code us the locale value to select localespecific uservisible data and behavior code modified by this change is of the first kind and should use googgetlocale in the future note there are still reference to the googlocale in angular codebase but they are of second type pr close 	refactor
762	docsinfra upgrade cli command doc source to aca updating angularmaster from clibuildsmaster relevant change in commit range modified helpgeneratejson pr close 	build
763	docsinfra correctly detect chunk load error it seems that at some point potentially with the switch to webpack webpack started using the full chunk name instead of just a numeric identifier in chunkloaderror message so the error message changed from chunkloaderror loading chunk failed to chunkloaderror loading chunk srcappsomethingsomemodulets failed this commit update the regex that is used to detect such error in order to print serviceworkerrelated debug info to correctly recognize the new error message format pr close 	fix
764	router ensure check for match option is compatible with property renaming after renaming path is not in routerlinkoptions since it been renamed pr close 	fix
765	docsinfra update doc example to angular v this commit update the doc example to angular v in addition to updating the dependency version it also update the project structure and configs to more closely match what a new v cli app would look like see also the diff between a basic v cli app and a v one pr close 	build
766	router allow question mark in query param value according to the uri spec question mark character are valid in query data so these should accepted by the param parsing see fix breaking change the default url serializer would previously drop everything after and including a question mark in query parameter that is for a navigation to pathqhelloother the query params would be parsed to just q hello this is incorrect because the uri spec allows for question mark characers in query data this change will now correctly parse the params for the above example to be v hello other pr close 	fix
767	devinfra search since head on the local branch for version tag when creating stamp using head wa errantly left in the snapshot stamping logic pr close 	fix
768	form make form status use stricter type specifically narrow the type used for form status from string to a union of possible status change the api method from any to use the new type this is a breaking change however a discussed in the pr breakage seems minimal and google ha been prepped to land this background we uncovered these any typing in the course of design work for typed form they could be fixed in a nonbreaking manner by piggybacking them on top of the new typed form generic but it would be much cleaner to fix them separately if possible breaking change a new type called formcontrolstatus ha been introduced which is a union of all possible status string for form control abstractcontrolstatus ha been narrowed from string to formcontrolstatus and statuschanges ha been narrowed from observableany to observableformcontrolstatus most application should consume the new type seamlessly any breakage caused by this change is likely due to one of the following two problem the app is comparing abstractcontrolstatus against a string which is not a valid status or the app is using statuschanges event a if they were something other than string pr close 	feat
769	docsinfra upgrade cli command doc source to cfb updating angularmaster from clibuildsmaster relevant change in commit range modified helpbuildjson helpeejson helpservejson relevant change in commit range since pr modified helpbuildjson helpservejson close pr close 	build
770	core incorrect error reported when trying to recreate view which had an error during creation currently if a view throw an error during creation mode we mark it a incompletefirstpass so that we can try to recover later the recovery is only possible inside component view the problem is that when this wa introduced i forgot to flip the firstcreatepass when an error is thrown which meant that calling renderview on the same component again is allowed it will eventually hit an assertion which can be confusing for the end user this issue only manifest itself when rendering view manually through viewcontainerref eg using ngif these change flip the firstcreatepass back to false on error so that trying to rerender the same view will throw an error which is consistent to the one that broke the view during creation fix pr close 	fix
771	languageservice global autocomplete doesnt work when the user try to modify the symbol when the user try to trigger suggestion from an interruption the l should provide the global completion for example inputt¦ the t can be the true or the symbol from the component context pr close 	fix
772	core update peerdependencies to allow rxjs we cant update the framework to rxjs until version because it contains breaking change but we can allow user to opt into it since all of our code should be compatible these change expand the allowed version range of rxjs and add an integration test to verify that we dont get compilation error note that we also have a test that run the aio example against rxjs already fix pr close 	refactor
773	docsinfra upgrade cli command doc source to dcfa updating angularmaster from clibuildsmaster relevant change in commit range modified helpgeneratejson helpnewjson pr close 	build
774	compiler add a test for parsing multiline expression in attribute this test a scenario that wa failing in an internal project pr close 	test
775	compiler use rather than in the mlparser this is a simple tidy up commit to move to the more specific comparison operator in the html lexerparser pr close 	refactor
776	compiler check that the parser support prematurely terminated interpolation such interpolation turned up during internal testing at google so this commit add a test to prevent regression pr close 	test
777	compiler define interface for each lexer token these token interface will make it easier to reason about token in the parser and in spec previously it wa never clear what item could appear in the part array of a token given a particular tokentype now each token interface declares a labelled tuple for the part which help to document the token better pr close 	refactor
778	compiler include leading whitespace in sourcespans of in message previously the way template were tokenized meant that we lost information about the location of interpolation if the template contained encoded html entity this meant that the mapping back to the source interpolated string could be offset incorrectly also the sourcespan assigned to an in message did not include leading whitespace this confused the output sourcemappings so that the first text node of the message stopped at the first nonwhitespace character this commit make use of the previous refactorings where more fine grain information wa provided in text token to enable the parser to identify the location of the interpolation in the original source more accurately fix pr close 	fix
779	compiler check fullstart sourcespan the test were checking that the sourcespan of parsed html node were accurate but they were not checking the span when it includes the leading trivia which are given by the fullstart rather than start location pr close 	test
780	compiler expose token part in text node when it wa tokenized text content is split into part that can include interpolation and encoded entity token to make this information available to downstream processing this commit add these token to the text ast node with suitable processing pr close 	refactor
781	compiler support encoded entity token when lexing markup the lexer now split encoded entity token out from text and attribute value token previously encoded entity would be decoded and the decoded value would be included a part of the text token of the surrounding text now the entity have their own token there are two scenario text and attribute value previously the content of divhello amp goodbyediv would be a single text token now it will be three token text hello encodedentity amp text goodbye previously the attribute value in div titlehello amp goodbye would be a single text token now it will be three token attrvaluetext hello encodedentity amp attrvaluetext goodbye encodedentity token have two part decoded and encoded encodedentity token are always preceded and followed by either text token or attrvaluetext token depending upon the context even if they represent an empty string the html parser ha been modified to recombine these token to allow this refactoring to have limited effect in this commit further refactorings to use these new token will follow in subsequent commits pr close 	refactor
782	compiler support interpolation token when lexing attribute value the lexer now split interpolation token out from attribute value token previously the attribute value of div attrhello name would be a single token now it will be three token attrvaluetext hello attrvalueinterpolation name attrvaluetext attrvalueinterpolation token have three part start marker expression and end marker attrvalueinterpolation token are always preceded and followed by text token even if they represent an empty string the html parser ha been modified to recombine these token to allow this refactoring to have limited effect in this commit further refactorings to use these new token will follow in subsequent commits pr close 	refactor
783	compiler share isquote via charsts this function is general purpose and by moving it into the charsts file along with similar helper it can be reused in the lexer for instance pr close 	refactor
784	compiler support interpolation token when lexing markup the lexer now split interpolation token out from text token previously the content of divhello namediv would be a single text token now it will be three token text hello interpolation name text interpolation token have three part start marker expression and end marker interpolation token are always preceded and followed by text token even if they represent an empty string the html parser ha been modified to recombine these token to allow this refactoring to have limited effect in this commit further refactorings to use these new token will follow in subsequent commits pr close 	refactor
785	compiler remove cyclic dependency this commit remove cycle in the dependency graph of the compiler code pr close 	refactor
786	compilercli clarify sourcemap expectation in compliance test the compliance test can check sourcemap segment against expectation encoded into the expectation file previously the encoding of the expected segment wa only delimited by whitespace but this made it difficult to identify segment that started or ended with whitespace now these segment expectation are wrapped in doublequotes which make it easier to read and understand the expectation file pr close 	test
787	ngcc remove unused import this import is not used in the file so can be removed pr close 	refactor
788	bazel extract function to patch filenametomodulename on host this commit extract the patching operation that add filenametomodulename to the angular compiler tscompilerhost into a separate function so that it can be invoked in other compilation flow besides the one outlined in ngcwrapped this is primarily needed for the xin operation in g pr close 	refactor
789	compiler remove unnecessary escape this commit is part of a larger scale change to eliminate unnecessary escape in string literal in advance of enabling stricter check in tslibrary rule in g pr close 	refactor
790	devinfra browser archive rule should handle dmg file we recently reworked our browser archive extraction to happen at analysis time for better caching this resulted in u breaking the extraction of macos dmg file so that firefox is currently not usable for local testing on macos we implement a similar special logic for dmg file to what ha been done within the bazel webtesting rule pr close 	fix
791	devtools update angularcli to ef rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
792	devtools update dependency typeschrome to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
793	devinfra ensure that building environment stamp fails silently previously when a failure occurred in part of building the environment stamp the entire process errored this should instead fail silently providing no value for the stamp pr close 	fix
794	languageservice support autocomplete string literal union type in template the native t language service ha the ability to provide autocompletions for string literal union type this pr is for angular to do the same in template fix pr close 	feat
795	devinfra introduce release action for directly branchingoff into rc introduces a new release action for cutting a releaseaction by directly moving the next releasetrain into the releasecandidate phase this allows the angular team to release minor version without needing to branchoff first into the featurefreeze phase for minor this phase can be skipped switching into the featurefreeze phase beforehand a a workaround would have allowed for branchingoff but ha the downside that target minor would no longer point to the branchedoff release train only target rc would work then pr close 	feat
796	router add missing outlet event to routeroutletcontract expose both activateevents and deactivateevents a the original outlet interface did pr close 	fix
797	devtools update angularframework to ae rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
798	docsinfra notify errorhandler of unrecoverablestate error with this commit the errorhandler is notified of serviceworker unrecoverablestate error the main purpose of this change is gathering info about the occurrence and frequency of such error in google analytics pr close 	fix
799	compilercli add maketemplatediagnostic wrapper add a maketemplatediagnostic wrapper in the templatetypechecker this requiers le parameter to create template diagnostics since the templatetypechecker can get the templateid and mapping from it scope with the tsclassdeclartion the templatetypechecker is often used to determine if a diagnostic should be produced so it make sense to have a function in it that help create them ref pr close 	refactor
800	compilercli use correct module resolution context for absolute import in dts file the compiler keep track of how a declaration ha been referenced using absolute module import and from which path the absolute module should be resolved from there wa a bug in how the dts metadata extraction would incorrectly use the dts file itself a resolution context for symbol that had been imported using a relative module specifier this could result in module resolution failure for example when extracting ngmodule metadata from nodemoduleslibindexdts that look like import libdirective from dir ngmodule declaration libdirective export libdirective export class libmodule and appmodulets that contains import libmodule from lib ngmodule import libmodule export class appmodule then appmodule would have recorded a reference to libmodule using the lib module specifier when extracting the ngmodule metadata from the nodemoduleslibindexdts file the relative import into dir should also be assumed to be importable from lib according to apf where symbol need to be exported from a single entrypoint so the reference to libdirective should have lib a absolute module specifier but it would incorrectly have nodemoduleslibindexdts a resolution context path the latter is incorrect a lib need to be resolved from appmodulets and not from within the library itself fix pr close 	fix
801	router ability to provide custom route reuse strategy via di for routertestingmodule for now it not possible to provide custom route reuse strategy via di for routertestingmodule only imperative instantiation these change make it possible to provide custom route reuse strategy via di pr close 	feat
802	devtools update dependency webpack to v rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
803	devtools update dependency typeschrome to rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
804	devtools update angularframework to ddba rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
805	router move computed state restoration test to own file to reduce the enormouse size of the integrationspects file move test related to the computed state restoration to their own file pr close 	test
806	router ensure computed state restoration work for thrown error when cancelednavigationresolutioncomputed the router need to handle the case where error are thrown previously the logic wa not updated and would simply do a replacestate rather than determining where in the history we should move to restore the pageurl from before the failed navigation pr close 	refactor
807	docsinfra upgrade cli command doc source to ab updating angularmaster from clibuildsmaster relevant change in commit range modified helpgeneratejson pr close 	build
808	devtools update angularcli to bb rangleangulardevtools coauthoredby renovate bot botrenovateappcom 	build
809	docsinfra switch the exampleee script to esm switch the j script used for running the doc example test from commonjs to esm format this is necessary for upgrading the globby dependency to version in a subsequent commit pr close 	build
810	docsinfra switch the generatestackblitzzips script to esm switch the j script used for generating stackblitz project and zip from commonjs to esm format this is necessary for upgrading the globby dependency to version in a subsequent commit pr close 	build
811	devinfra include experimental version stamp in env stamp include the determined experimental version for stamping in the env stamp created for release and snapshot build pr close 	feat
812	devinfra move semver utils into the utils directory move semver into the utils directory rather than a a set of utils specifically for release tooling while the utils are only currently used in the release tooling they are not providing a release specific utility and can be used by any subtool of ngdev pr close 	refactor
813	devinfra fix creating experimental semver version to include prerelease chunk semvers created for experimental version should also include the prerelease chunk ie next pr close 	fix
814	form add hasvalidators addvalidators and removevalidators method for both sync and async several new functionality are possible with this change the most requested is that caller can now check whether a control ha a required validator other us include incrementally changing the validators set without doing an expensive operation to reset all validators close pr close 	feat
815	compilercli skip analysis in incremental build for file without angular behavior in an incremental rebuild the compiler attempt to reuse a much analysis data from a prior compilation a possible to avoid doing the analysis work again for source file without angular behavior however no analysis data would be recorded such that the source file had to be reanalyzed each rebuild even if it ha not changed this commit avoids the analysis of such source file by registering these file a not containing any angular behavior allowing subsequent rebuilds to avoid the analysis work pr close 	perf
816	form allow minlengthmaxlength validator to be bound to null if the validator is bound to be null then no validation occurs and attribute is not added to dom for every validator type different pr will be raised a discussed in close pr close 	feat
817	core correctly handle null or undefined in errorhandlerhandleerror since errorhandlerhandleerror expects an argument of type any it should be able to handle value such a null and undefined previously it failed to handle these value because it wa trying to access property on them this commit fix it by ensuring no property are accessed on null or undefined value note this is part of fully addressing fix pr close 	fix
